epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.237,2.30164,3.8492,1.9463,0.00538,0.05556,0.02975,0.00633,2.6197,4.17294,2.52968,7.145e-05,7.145e-05,7.145e-05
2,783.963,2.02925,3.59551,1.77092,0.00519,0.29532,0.03462,0.01127,2.81899,4.11449,2.57307,0.000150965,0.000150965,0.000150965
3,919.053,1.94781,3.04757,1.62666,0.00556,0.05556,0.05732,0.01923,2.43247,3.97267,2.2432,0.00022369,0.00022369,0.00022369
4,1296.4,1.92427,2.72254,1.54582,0.0046,0.36111,0.07819,0.03202,2.32405,3.80558,2.21564,0.000289624,0.000289624,0.000289624
5,1431.81,1.8363,2.50973,1.53162,0.00479,0.44444,0.03674,0.01231,2.37436,3.73604,2.17768,0.000348767,0.000348767,0.000348767
